SKU,Handle,Description,Title,Price,Vendor,Type,Image_Src,Quantity
15118,redken-chromatics-3,Хроматикc Проявитель 30 вол 9% 1000 мл,Redken Chromatics,1236,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-chromatics---hromatikc-proyavitel-30-vol-9-1000-ml-Redken-Chromatics-30vol.150x150.jpg,3
15119,redken-shades-eq-gloss,Шейдс икью Процессинг солюшн 1000 мл,Redken Shades Eq Gloss,1147,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---shejds-ikyu-protsessing-solyushn-1000-ml-Redken_Shades_Eq_Gloss_.150x150_f94fccf4-b3fc-47d3-9a25-0dbd9ee5cb0c.jpg,19
15120,redken-shades-eq-gloss-2,Шейдс икью Кристал клир 500 мл,Redken Shades Eq Gloss,1938,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---shejds-ikyu-kristal-klir-500-ml-Redken_Shades_Eq_Gloss_.150x150.jpg,2
15121,redken-shades-eq-gloss-3,Про-оксид 10 вол 3% 1000 мл,Redken Shades Eq Gloss,1236,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---pro-oksid-10-vol-3-1000-ml-Redken-pro-oxide-10-vol.150x150.jpg,1
15122,redken-shades-eq-gloss-4,Про-оксид 20 вол 6% 1000 мл,Redken Shades Eq Gloss,1236,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---pro-oksid-20-vol-6-1000-ml-Redken-pro-oxide-20-vol.150x150.jpg,11
15123,redken-shades-eq-gloss-5,Про-оксид 30 вол 9%1000 мл,Redken Shades Eq Gloss,1236,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---pro-oksid-30-vol-9-1000-ml-Redken-pro-oxide-30-vol.150x150.jpg,17
15124,redken-shades-eq-gloss-6,Про-оксид 40 вол 12% 1000 мл,Redken Shades Eq Gloss,1236,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---pro-oksid-40-vol-12-1000-ml-Redken-pro-oxide-40-vol.150x150.jpg,12
15125,redken-shades-eq-gloss-7,"Краска-блеск без аммиака для тонирования и ухода 09NW, 60 мл",Redken Shades Eq Gloss,916,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---kraska-blesk-bez-ammiaka-dlya-tonirovaniya-i-uhoda-09nw-60-ml1.150x150.jpg,18
15126,redken-shades-eq-gloss-8,"Краска-блеск без аммиака для тонирования и ухода 09P, 60 мл",Redken Shades Eq Gloss,916,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---kraska-blesk-bez-ammiaka-dlya-tonirovaniya-i-uhoda-09p-60-ml1.150x150.jpg,6
15127,redken-shades-eq-gloss-9,"Краска-блеск без аммиака для тонирования и ухода 07NW, 60 мл",Redken Shades Eq Gloss,916,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---kraska-blesk-bez-ammiaka-dlya-tonirovaniya-i-uhoda-07nw-60-ml1.150x150.jpg,6
15128,redken-shades-eq-gloss-10,"Краска-блеск без аммиака для тонирования и ухода 07N, 60 мл",Redken Shades Eq Gloss,916,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---kraska-blesk-bez-ammiaka-dlya-tonirovaniya-i-uhoda-07n-60-ml1.150x150.jpg,4
15129,redken-shades-eq-gloss-11,"Краска-блеск без аммиака для тонирования и ухода 07Р, 60 мл",Redken Shades Eq Gloss,916,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---kraska-blesk-bez-ammiaka-dlya-tonirovaniya-i-uhoda-07r-60-ml1.150x150.jpg,11
15130,redken-shades-eq-gloss-12,"Краска-блеск без аммиака для тонирования и ухода 07B, 60 мл",Redken Shades Eq Gloss,916,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---kraska-blesk-bez-ammiaka-dlya-tonirovaniya-i-uhoda-07b-60-ml1.150x150.jpg,3
15131,redken-shades-eq-gloss-13,Краска-блеск без аммиака для тонирования и ухода Шейдс икью 02M 60 мл,Redken Shades Eq Gloss,916,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---kraska-blesk-bez-ammiaka-dlya-tonirovaniya-i-uhoda-shejds-ikyu-02m-60-ml-P0487600.150x150.jpg,4
15132,redken-shades-eq-gloss-14,Краска-блеск без аммиака для тонирования и ухода Шейдс икью 03B 60 мл,Redken Shades Eq Gloss,916,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---kraska-blesk-bez-ammiaka-dlya-tonirovaniya-i-uhoda-shejds-ikyu-03b-60-ml-P0067601.150x150.jpg,9
15133,redken-shades-eq-gloss-15,Краска-блеск без аммиака для тонирования и ухода Шейдс икью 03N 60 мл,Redken Shades Eq Gloss,916,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---kraska-blesk-bez-ammiaka-dlya-tonirovaniya-i-uhoda-shejds-ikyu-03n-60-ml-P0070901.150x150.jpg,17
15134,redken-shades-eq-gloss-16,Краска-блеск без аммиака для тонирования и ухода Шейдс икью 04NB 60 мл,Redken Shades Eq Gloss,916,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---kraska-blesk-bez-ammiaka-dlya-tonirovaniya-i-uhoda-shejds-ikyu-04nb-60-ml-P0053100.150x150.jpg,20
15135,redken-shades-eq-gloss-17,Краска-блеск без аммиака для тонирования и ухода Шейдс икью 04WG 60 мл,Redken Shades Eq Gloss,916,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---kraska-blesk-bez-ammiaka-dlya-tonirovaniya-i-uhoda-shejds-ikyu-04wg-60-ml-P0053201.150x150.jpg,16
15136,redken-shades-eq-gloss-18,Краска-блеск без аммиака для тонирования и ухода Шейдс икью 04M 60 мл,Redken Shades Eq Gloss,916,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---kraska-blesk-bez-ammiaka-dlya-tonirovaniya-i-uhoda-shejds-ikyu-04m-60-ml-Redken-Shades-Eq-Gloss-4m.150x150.jpg,12
15137,redken-shades-eq-gloss-19,Краска-блеск без аммиака для тонирования и ухода Шейдс икью 5B 60 мл,Redken Shades Eq Gloss,916,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---kraska-blesk-bez-ammiaka-dlya-tonirovaniya-i-uhoda-shejds-ikyu-5b-60-ml-P0068301.150x150.jpg,18
15138,redken-shades-eq-gloss-20,Краска-блеск без аммиака для тонирования и ухода Шейдс икью 05G 60 мл,Redken Shades Eq Gloss,916,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---kraska-blesk-bez-ammiaka-dlya-tonirovaniya-i-uhoda-shejds-ikyu-05g-60-ml-P0068701.150x150.jpg,16
15139,redken-shades-eq-gloss-21,Краска-блеск без аммиака для тонирования и ухода Шейдс икью 05K 60 мл,Redken Shades Eq Gloss,916,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---kraska-blesk-bez-ammiaka-dlya-tonirovaniya-i-uhoda-shejds-ikyu-05k-60-ml-P0068801.150x150.jpg,5
15140,redken-shades-eq-gloss-22,Краска-блеск без аммиака для тонирования и ухода Шейдс икью 05N 60 мл,Redken Shades Eq Gloss,916,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---kraska-blesk-bez-ammiaka-dlya-tonirovaniya-i-uhoda-shejds-ikyu-05n-60-ml-P0052901.150x150.jpg,15
15141,redken-shades-eq-gloss-23,Краска-блеск без аммиака для тонирования и ухода Шейдс икью 06AA 60 мл,Redken Shades Eq Gloss,916,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---kraska-blesk-bez-ammiaka-dlya-tonirovaniya-i-uhoda-shejds-ikyu-06aa-60-ml-P0488500.150x150.jpg,10
15142,redken-shades-eq-gloss-24,Краска-блеск без аммиака для тонирования и ухода Шейдс икью 06T 60 мл,Redken Shades Eq Gloss,916,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---kraska-blesk-bez-ammiaka-dlya-tonirovaniya-i-uhoda-shejds-ikyu-06t-60-ml-Redken-Shades-Eq-Gloss.150x150.jpg,20
15143,redken-shades-eq-gloss-25,Краска-блеск без аммиака для тонирования и ухода Шейдс икью 06GB 60 мл,Redken Shades Eq Gloss,916,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---kraska-blesk-bez-ammiaka-dlya-tonirovaniya-i-uhoda-shejds-ikyu-06gb-60-ml-P0072801.150x150.jpg,8
15144,redken-shades-eq-gloss-26,Краска-блеск без аммиака для тонирования и ухода Шейдс икью 06N 60 мл,Redken Shades Eq Gloss,916,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---kraska-blesk-bez-ammiaka-dlya-tonirovaniya-i-uhoda-shejds-ikyu-06n-60-ml-P0106001.150x150.jpg,2
15145,redken-shades-eq-gloss-27,Краска-блеск без аммиака для тонирования и ухода Шейдс икью 06R 60 мл,Redken Shades Eq Gloss,916,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---kraska-blesk-bez-ammiaka-dlya-tonirovaniya-i-uhoda-shejds-ikyu-06r-60-ml-P0488000.150x150.jpg,17
15146,redken-shades-eq-gloss-28,Краска-блеск без аммиака для тонирования и ухода Шейдс икью 06RB 60 мл,Redken Shades Eq Gloss,916,Redken,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-shades-eq-gloss---kraska-blesk-bez-ammiaka-dlya-tonirovaniya-i-uhoda-shejds-ikyu-06rb-60-ml-P0488800.150x150.jpg,7
