SKU,Vendor,Description,Title,Price,Type,Image_Src,Quantity
21456,Redken,"Крем-краска, глубокий фиолетовый, 60 мл",Redken Blonde Idol High Lift Vv conditioning cream haircolor Violet-violet,1130,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-blonde-idol-high-lift-vv-conditioning-cream-haircolor-violet-violet---krem-kraska-glubokij-fioletovyj-60-mlP1045400.150x150.jpg,9
21457,Redken,"Крем-краска, бежевый, 60 мл",Redken Blonde Idol High Lift B conditioning cream haircolor Beige,1130,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-blonde-idol-high-lift-b-conditioning-cream-haircolor-beige---krem-kraska-bezhevyj-60-mlP1043500.150x150.jpg,5
21458,Redken,"Укрепляющий шампунь, 300 мл.",Redken Extreme,1138,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-extreme---ukreplyayuschij-shampun-300-mlex_shampoo.150x150.jpg,5
21459,Redken,"Восстанавливающий уход для устранения секущихся концов, 150 мл",Redken Extreme Length Primer,1714,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-extreme-length-primer---vosstanavlivayuschij-uhod-dlya-ustraneniya-sekuschihsya-kontsov-50-ml55a527a3366b3.150x150.jpg,5
21460,Redken,"Лосьон с биотином для ускорения роста волос: корни и длина, 50 мл",Redken Extreme Length Sealer,2236,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-extreme-length---loson-s-biotinom-dlya-uskoreniya-rosta-volos-korni-i-dlina-150-mlsealer_1.150x150.jpg,15
21461,Redken,"Шампунь для гладкости и дисциплины волос, 300 мл",Redken Frizz Dismiss,1311,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-frizz-dismiss---shampun-dlya-gladkosti-i-distsipliny-volos-250-mlfrizzdismiss_shampoo_large.150x150.jpg,7
21462,Redken,"Шампунь для гладкости и дисциплины волос, 1000 мл",Redken Frizz Dismiss,2660,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-frizz-dismiss---shampun-dlya-gladkosti-i-distsipliny-volos-1000-mlredken_frizz_dismiss_shampoo_1000ml-300x300.150x150.jpg,4
21463,Redken,"Кондиционер для гладкости и дисциплины волос, 250 мл",Redken Frizz Dismiss Conditioner,1640,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-frizz-dismiss-conditioner---konditsioner-dlya-gladkosti-i-distsipliny-volos-250-mlfrizzdismiss_conditioner_large.150x150.jpg,1
21464,Redken,"Кондиционер для гладкости и дисциплины волос, 1000 мл",Redken Frizz Dismiss,3682,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-frizz-dismiss---konditsioner-dlya-gladkosti-i-distsipliny-volos-1000-mlredken_frizz_dismiss_conditioner_1000ml-300x300.150x150.jpg,20
21465,Redken,"Питающая маска для гладкости с акваторилом и маслом прокакси, 250 мл",Redken Frizz Dismiss Mask,2087,Cosmetics,https://cdn.shopify.com/s/files/1/1316/6641/files/redken-frizz-dismiss-mask---pitayuschaya-maska-dlya-gladkosti-s-akvatorilom-i-maslom-prokaksi-250-mlfrizzdismiss_mask_large.150x150.jpg,1
